title,difficulty,topic,statement,input_format,output_format,starter_python,starter_javascript
Practice Problem 29,MEDIUM,Greedy,Solve Practice Problem 29 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 30,HARD,Math,Solve Practice Problem 30 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 31,EASY,Arrays,Solve Practice Problem 31 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 32,MEDIUM,Strings,Solve Practice Problem 32 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 33,HARD,Linked List,Solve Practice Problem 33 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 34,EASY,Stack,Solve Practice Problem 34 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 35,MEDIUM,Queue,Solve Practice Problem 35 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 36,HARD,Trees,Solve Practice Problem 36 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 37,EASY,Graphs,Solve Practice Problem 37 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 38,MEDIUM,Dynamic Programming,Solve Practice Problem 38 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 39,HARD,Greedy,Solve Practice Problem 39 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 40,EASY,Math,Solve Practice Problem 40 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 41,MEDIUM,Arrays,Solve Practice Problem 41 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 42,HARD,Strings,Solve Practice Problem 42 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 43,EASY,Linked List,Solve Practice Problem 43 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 44,MEDIUM,Stack,Solve Practice Problem 44 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 45,HARD,Queue,Solve Practice Problem 45 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 46,EASY,Trees,Solve Practice Problem 46 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 47,MEDIUM,Graphs,Solve Practice Problem 47 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 48,HARD,Dynamic Programming,Solve Practice Problem 48 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 49,EASY,Greedy,Solve Practice Problem 49 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 50,MEDIUM,Math,Solve Practice Problem 50 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 51,HARD,Arrays,Solve Practice Problem 51 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 52,EASY,Strings,Solve Practice Problem 52 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 53,MEDIUM,Linked List,Solve Practice Problem 53 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 54,HARD,Stack,Solve Practice Problem 54 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 55,EASY,Queue,Solve Practice Problem 55 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 56,MEDIUM,Trees,Solve Practice Problem 56 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 57,HARD,Graphs,Solve Practice Problem 57 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 58,EASY,Dynamic Programming,Solve Practice Problem 58 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 59,MEDIUM,Greedy,Solve Practice Problem 59 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 60,HARD,Math,Solve Practice Problem 60 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 61,EASY,Arrays,Solve Practice Problem 61 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 62,MEDIUM,Strings,Solve Practice Problem 62 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 63,HARD,Linked List,Solve Practice Problem 63 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 64,EASY,Stack,Solve Practice Problem 64 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 65,MEDIUM,Queue,Solve Practice Problem 65 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 66,HARD,Trees,Solve Practice Problem 66 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 67,EASY,Graphs,Solve Practice Problem 67 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 68,MEDIUM,Dynamic Programming,Solve Practice Problem 68 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 69,HARD,Greedy,Solve Practice Problem 69 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 70,EASY,Math,Solve Practice Problem 70 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 71,MEDIUM,Arrays,Solve Practice Problem 71 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 72,HARD,Strings,Solve Practice Problem 72 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 73,EASY,Linked List,Solve Practice Problem 73 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 74,MEDIUM,Stack,Solve Practice Problem 74 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 75,HARD,Queue,Solve Practice Problem 75 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 76,EASY,Trees,Solve Practice Problem 76 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 77,MEDIUM,Graphs,Solve Practice Problem 77 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 78,HARD,Dynamic Programming,Solve Practice Problem 78 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 79,EASY,Greedy,Solve Practice Problem 79 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 80,MEDIUM,Math,Solve Practice Problem 80 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 81,HARD,Arrays,Solve Practice Problem 81 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 82,EASY,Strings,Solve Practice Problem 82 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 83,MEDIUM,Linked List,Solve Practice Problem 83 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 84,HARD,Stack,Solve Practice Problem 84 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 85,EASY,Queue,Solve Practice Problem 85 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 86,MEDIUM,Trees,Solve Practice Problem 86 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 87,HARD,Graphs,Solve Practice Problem 87 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 88,EASY,Dynamic Programming,Solve Practice Problem 88 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 89,MEDIUM,Greedy,Solve Practice Problem 89 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 90,HARD,Math,Solve Practice Problem 90 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 91,EASY,Arrays,Solve Practice Problem 91 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 92,MEDIUM,Strings,Solve Practice Problem 92 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 93,HARD,Linked List,Solve Practice Problem 93 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 94,EASY,Stack,Solve Practice Problem 94 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 95,MEDIUM,Queue,Solve Practice Problem 95 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 96,HARD,Trees,Solve Practice Problem 96 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 97,EASY,Graphs,Solve Practice Problem 97 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 98,MEDIUM,Dynamic Programming,Solve Practice Problem 98 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 99,HARD,Greedy,Solve Practice Problem 99 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 100,EASY,Math,Solve Practice Problem 100 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
